start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
13.03.2002;120;15;9120;6;12
13.03.2002;76;52;10536;6;12
13.03.2002;1648;168;298848;6;12
13.03.2002;492;5360;2663904;12;25
13.03.2002;208;20;19560;6;12
13.03.2002;200;16;15840;6;12
13.03.2002;304;1136;431664;25;50
13.03.2002;220;100;53544;6;12
13.03.2002;208;192;66288;12;25
13.03.2002;64;48;8568;6;12
13.03.2002;308;304;172752;6;12
13.03.2002;100;28;10512;6;12
13.03.2002;236;72;51672;6;12
13.03.2002;812;100;199896;6;12
13.03.2002;384;26;45888;6;12
13.03.2002;348;24;36096;6;12
13.03.2002;540;100;142488;6;12
13.03.2002;636;68;99000;6;12
13.03.2002;1812;23536;55712592;25;50
13.03.2002;3300;21488;237456224;25;50
14.03.2002;124;4080;2853504;12;25
14.03.2002;536;58;136243;6;12
14.03.2002;696;53;143801;6;12
14.03.2002;512;27;67989;6;12
14.03.2002;204;23;24881;6;12
14.03.2002;52;22;6275;6;12
14.03.2002;124;23;14994;6;12
14.03.2002;20;19;2227;6;12
14.03.2002;1212;7408;23628974;50;100
14.03.2002;288;8688;10826904;3;6
14.03.2002;1576;592;3001759;6;12
14.03.2002;2116;336;1545048;6;12
14.03.2002;404;52;60528;6;12
14.03.2002;224;52;51216;6;12
14.03.2002;424;112;183312;6;12
14.03.2002;240;68;60384;6;12
15.03.2002;124;12;6912;6;12
15.03.2002;1704;1264;4872480;25;50
15.03.2002;1180;560;2764632;12;25
15.03.2002;2128;352;2748672;12;25
16.03.2002;456;152;347184;6;12
16.03.2002;368;44;82848;6;12
16.03.2002;188;40;39984;6;12
16.03.2002;336;34;59808;6;12
16.03.2002;972;34;155712;6;12
16.03.2002;332;24;31080;6;12
17.03.2002;292;18;19512;12;25
17.03.2002;552;24;52944;12;25
17.03.2002;272;42;42648;12;25
17.03.2002;436;64;87192;12;25
17.03.2002;752;1328;1835976;50;100
17.03.2002;612;6640;6799464;50;100
17.03.2002;124;14;7320;25;50
18.03.2002;324;40;60024;6;12
18.03.2002;1092;36;166440;6;12
18.03.2002;1356;112;465384;12;25
18.03.2002;60;13;3408;12;25
18.03.2002;1192;432;513000;6;12
18.03.2002;436;152;194832;25;50
18.03.2002;952;592;984168;25;50
19.03.2002;124;14;7896;12;25
19.03.2002;176;12;9144;25;50
19.03.2002;768;100;303888;12;25
19.03.2002;328;40;61968;12;25
19.03.2002;648;32;101472;12;25
20.03.2002;296;24;30384;12;25
20.03.2002;160;24;14232;12;25
20.03.2002;72;14;4896;6;12
20.03.2002;76;14;4752;6;12
21.03.2002;1580;32;154464;25;50
21.03.2002;388;92;131448;12;25
21.03.2002;984;40;132120;12;25
21.03.2002;660;30;66840;12;25
22.03.2002;548;12;24744;6;12
22.03.2002;884;320;669960;25;50
22.03.2002;428;56;100056;12;25
22.03.2002;256;22;25392;6;12
22.03.2002;56;13;3480;6;12
22.03.2002;100;30;9480;12;25
23.03.2002;72;38;7416;12;25
23.03.2002;444;20;30504;12;25
23.03.2002;124;20;12120;6;12
24.03.2002;476;28;46344;12;25
24.03.2002;604;44;98928;12;25
24.03.2002;260;18;21504;12;25
24.03.2002;300;192;112584;25;50
24.03.2002;156;12;8640;6;12
24.03.2002;464;26;51960;12;25
24.03.2002;88;16;7224;6;12
25.03.2002;348;20;28224;12;25
25.03.2002;116;22;9648;12;25
25.03.2002;148;40;19752;12;25
25.03.2002;136;13;8376;6;12
25.03.2002;368;16;25680;6;12
25.03.2002;1168;24;85080;12;25
25.03.2002;356;15;21384;6;12
25.03.2002;880;816;928272;25;50
25.03.2002;384;56;47712;12;25
26.03.2002;324;52;49008;6;12
26.03.2002;276;22;25872;6;12
26.03.2002;264;272;150600;12;25
26.03.2002;260;304;227928;6;12
26.03.2002;412;26;43296;6;12
26.03.2002;452;16;35520;6;12
26.03.2002;536;48;70296;6;12
